dependent,independent,corr,eg_stat,eg_pvalue,beta,half_life,cointegrated,tradeable_hl,candidate
DOT-USD,AVAX-USD,0.8493039487554306,-1.4996890883968441,0.30307411353202757,0.8283869026372122,35.76892984097037,False,True,False
AVAX-USD,ETH-USD,0.5932127739961855,-1.4939124302609788,0.30383265310734964,0.5577419226494347,51.83157843459253,False,True,False
XTZ-USD,ETH-USD,0.5370556761686921,-1.4581526027188996,0.30852831689069665,0.5635099581514877,64.67206170631039,False,True,False
XLM-USD,UNI-USD,0.527532996061889,-1.4309456536006369,0.3121008924429602,1.0859144822589937,79.0192356357857,False,True,False
UNI-USD,BCH-USD,0.5916367079728473,-1.2791705405743303,0.3320306558237371,0.7838253002474986,57.12548498306079,False,True,False
MATIC-USD,FIL-USD,0.9164166683459453,-1.2385745778883104,0.3373613580344941,1.10082396595757,37.40664033763373,False,True,False
UNI-USD,LINK-USD,0.7673086483297266,-1.1581137137101676,0.34792676597594807,0.7830264737298103,46.38178514114636,False,True,False
AVAX-USD,FIL-USD,0.7770697718185967,-1.076921479133555,0.3585882109994675,0.6449849420259914,46.145790738199935,False,True,False
UNI-USD,ETH-USD,0.7172021206277897,-0.9974265418329579,0.3690267819797836,0.7705116778333306,71.70320846103397,False,True,False
ETC-USD,ETH-USD,0.6358411770620053,-0.9341975176109436,0.3773294573421386,0.44028814113290365,53.645688648323535,False,True,False
